,Certificação,Artista(s),Título,Formato,Data de Lançamento,Data de Certificação,Gravadora(s),Unidades Certificadas
0,Multi platinum,NIKO MOON,GOOD TIME,SINGLE,"JULY 19, 2019","November 22, 2021",RCA NASHVILLE,2 Million
1,Multi platinum,BROCKHAMPTON,SUGAR,SINGLE,"AUGUST 23, 2019","November 19, 2021",QUESTION EVERYTHING / RCA RECORDS,2 Million
2,Platinum,HOUNDMOUTH,SEDONA,SINGLE,"JANUARY 20, 2015","November 17, 2021",ROUGH TRADE,1 Million
3,Platinum,CASTING CROWNS,NOBODY (FEAT. MATTHEW WEST),SINGLE,"OCTOBER 12, 2018","November 16, 2021",BEACH STREET RECORDS / REUNION RECORDS,1 Million
4,Platinum,YOUNG M.A,BIG,SINGLE,"JUNE 28, 2019","November 12, 2021",M.A MUSIC / 3D,1 Million
5,Multi platinum,ARIZONA ZERVAS,ROXANNE,SINGLE,"OCTOBER 10, 2019","November 11, 2021",COLUMBIA,5 Million
6,Diamond,THE CHAINSMOKERS,CLOSER,SINGLE,"JULY 29, 2016","November 11, 2021",COLUMBIA,14 Million
7,Multi platinum,LEE BRICE,HARD TO LOVE,SINGLE,"APRIL 17, 2012","November 10, 2021",CURB RECORDS,4 Million
8,Diamond,NICKI MINAJ,SUPER BASS,SINGLE,"JUNE 21, 2011","November 9, 2021",CASH MONEY / REPUBLIC RECORDS,10 Million
9,Platinum,HOUNDMOUTH,SEDONA,SINGLE,"JANUARY 20, 2015","November 17, 2021",ROUGH TRADE,1 Million
10,Platinum,CASTING CROWNS,NOBODY (FEAT. MATTHEW WEST),SINGLE,"OCTOBER 12, 2018","November 16, 2021",BEACH STREET RECORDS / REUNION RECORDS,1 Million
11,Gold,IRATION,FALLING,SINGLE,"MARCH 16, 2010","November 16, 2021",MRI ENTERTAINMENT,0.5 Million
12,Gold,MATT MAHER,ALL THE PEOPLE SAID AMEN,SINGLE,"APRIL 19, 2013","November 16, 2021",ESSENTIAL RECORDS / PROVIDENT LABEL GROUP LLC,0.5 Million
13,Gold,TORY LANEZ,CHIXTAPE 5,ALBUM,"NOVEMBER 15, 2019","November 15, 2021",INTERSCOPE,0.5 Million
14,Platinum,TORY LANEZ,THE TAKE (FEAT. CHRIS BROWN),SINGLE,"NOVEMBER 15, 2019","November 15, 2021",INTERSCOPE,1 Million
15,Platinum,TORY LANEZ,JERRY SPRUNGER (FEAT T. PAIN),SINGLE,"NOVEMBER 8, 2019","November 15, 2021",INTERSCOPE,1 Million
16,Multi platinum,TORY LANEZ,TALK TO ME (FEAT. RICH THE KID),SINGLE,"JUNE 21, 2018","November 15, 2021",INTERSCOPE,2 Million
17,Gold,JACKSEPTICEYE & THE GREGORY BROTHERS,ALL THE WAY (I BELIEVE IN STEVE),SINGLE,"JULY 22, 2016","November 12, 2021",GREGORY RESIDENCE,0.5 Million
18,Platinum,YOUNG M.A,BIG,SINGLE,"JUNE 28, 2019","November 12, 2021",M.A MUSIC / 3D,1 Million
19,Gold,ALL THAT REMAINS,WHAT IF I WAS NOTHING,SINGLE,"NOVEMBER 6, 2012","November 11, 2021",CRAFT RECORDINGS,0.5 Million
20,Multi platinum,ARIZONA ZERVAS,ROXANNE,SINGLE,"OCTOBER 10, 2019","November 11, 2021",COLUMBIA,5 Million
21,Gold,LA BANDA GORDA,MI MUJER ME GOBIERNA,SINGLE,"AUGUST 12, 2016","November 11, 2021",LA OREJA MEDIA GROUP,0.03 Million
22,Gold,NATHANIEL RATELIFF AND THE NIGHT SWEATS,I NEED NEVER GET OLD,SINGLE,"AUGUST 21, 2015","November 11, 2021",FANTASY/STAX,0.5 Million
23,Platinum,STARSET,MY DEMONS,SINGLE,"AUGUST 1, 2013","November 11, 2021",FEARLESS,1 Million
